epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.369,1.79371,2.32356,1.6901,0.52793,0.47616,0.48057,0.247,1.49598,1.70997,1.54362,0.000166268,0.000166268,0.0669127
2,494.033,1.68892,1.79959,1.61162,0.63245,0.58768,0.59206,0.31871,1.42482,1.33179,1.45028,0.000329639,0.000329639,0.0337427
3,691.155,1.65258,1.66921,1.57858,0.56637,0.64089,0.58336,0.32937,1.38145,1.16509,1.40211,0.000489709,0.000489709,0.000569454
4,938.177,1.63051,1.59209,1.55189,0.5839,0.65451,0.62568,0.36538,1.3372,1.15415,1.36883,0.00048515,0.00048515,0.00048515
5,1289.79,1.60575,1.51109,1.53307,0.5389,0.60728,0.56558,0.33473,1.32429,1.2191,1.36311,0.0004802,0.0004802,0.0004802
6,1516.36,1.57791,1.46178,1.51287,0.63719,0.64435,0.648,0.3747,1.3315,1.06215,1.37774,0.00047525,0.00047525,0.00047525
7,1687.82,1.56245,1.42842,1.50113,0.58937,0.68011,0.64609,0.37818,1.29414,1.06068,1.34543,0.0004703,0.0004703,0.0004703
8,1863.77,1.54364,1.38736,1.48335,0.63615,0.69814,0.65888,0.37747,1.30422,1.0424,1.35057,0.00046535,0.00046535,0.00046535
9,2081.5,1.53334,1.35357,1.47886,0.66628,0.69489,0.69296,0.39442,1.28246,0.97152,1.32497,0.0004604,0.0004604,0.0004604
10,2268.37,1.52018,1.33376,1.46903,0.64825,0.68956,0.70292,0.41681,1.26988,0.9512,1.3101,0.00045545,0.00045545,0.00045545
11,2449.3,1.52162,1.32987,1.46644,0.61843,0.67717,0.66711,0.39355,1.29129,0.97912,1.32801,0.0004505,0.0004505,0.0004505
12,2645.87,1.51348,1.30255,1.46447,0.63052,0.68341,0.68145,0.39888,1.30883,0.99725,1.34527,0.00044555,0.00044555,0.00044555
13,2817.88,1.51372,1.29388,1.46432,0.64805,0.68458,0.69981,0.40645,1.30686,0.98678,1.3732,0.0004406,0.0004406,0.0004406
14,2993.25,1.48734,1.27218,1.44797,0.68677,0.6762,0.69576,0.41999,1.23625,0.94324,1.28696,0.00043565,0.00043565,0.00043565
15,3167.64,1.49466,1.27053,1.44428,0.7,0.67175,0.7237,0.4299,1.2316,0.91596,1.29217,0.0004307,0.0004307,0.0004307
16,3332.21,1.482,1.25296,1.43792,0.68208,0.67841,0.71058,0.42136,1.22813,0.92446,1.28444,0.00042575,0.00042575,0.00042575
17,3498.45,1.47231,1.24447,1.43659,0.63354,0.70634,0.72365,0.42885,1.23534,0.91822,1.29243,0.0004208,0.0004208,0.0004208
18,3660.9,1.47161,1.23207,1.4273,0.66079,0.70563,0.70999,0.42494,1.23841,0.92041,1.29588,0.00041585,0.00041585,0.00041585
19,3821.41,1.45838,1.21044,1.41729,0.66185,0.73303,0.72081,0.42924,1.23141,0.88678,1.27998,0.0004109,0.0004109,0.0004109
20,3983.63,1.45164,1.18613,1.41984,0.6857,0.72699,0.73572,0.43777,1.21683,0.86555,1.26648,0.00040595,0.00040595,0.00040595
21,4144.1,1.45415,1.18962,1.41472,0.64558,0.74906,0.73053,0.44141,1.20594,0.86704,1.26781,0.000401,0.000401,0.000401
22,4304.19,1.45325,1.18788,1.41388,0.69532,0.71554,0.73417,0.43693,1.22739,0.86488,1.26857,0.00039605,0.00039605,0.00039605
23,4464.06,1.4301,1.15248,1.39749,0.6698,0.70664,0.72335,0.43765,1.21847,0.84087,1.26841,0.0003911,0.0003911,0.0003911
24,4623.73,1.43701,1.16239,1.39813,0.68231,0.68128,0.70488,0.42421,1.21903,0.92544,1.28042,0.00038615,0.00038615,0.00038615
25,4784.92,1.4306,1.15418,1.39461,0.70595,0.70745,0.73281,0.4356,1.22241,0.86959,1.27123,0.0003812,0.0003812,0.0003812
26,4943.48,1.43742,1.15287,1.40351,0.66127,0.70018,0.7297,0.43184,1.22934,0.87365,1.2827,0.00037625,0.00037625,0.00037625
27,5115.11,1.44152,1.15055,1.40254,0.70386,0.73133,0.73573,0.44298,1.21795,0.85465,1.27246,0.0003713,0.0003713,0.0003713
28,5273.01,1.42723,1.127,1.39751,0.73404,0.70849,0.74479,0.44535,1.2352,0.83364,1.26871,0.00036635,0.00036635,0.00036635
29,5430.59,1.4152,1.12877,1.37928,0.71694,0.72628,0.7489,0.44679,1.21785,0.8117,1.26697,0.0003614,0.0003614,0.0003614
30,5587.1,1.40848,1.11308,1.37857,0.67803,0.74432,0.74548,0.44549,1.21568,0.81935,1.25762,0.00035645,0.00035645,0.00035645
31,5745.14,1.40916,1.11618,1.3829,0.72166,0.72633,0.75961,0.45798,1.20259,0.8111,1.25434,0.0003515,0.0003515,0.0003515
32,5900.69,1.40542,1.11158,1.38531,0.70036,0.72715,0.74459,0.44942,1.19791,0.82533,1.25859,0.00034655,0.00034655,0.00034655
33,6056.09,1.39787,1.09797,1.3753,0.71108,0.71821,0.74319,0.44852,1.20286,0.82313,1.24745,0.0003416,0.0003416,0.0003416
34,6213.8,1.39193,1.08967,1.3622,0.73562,0.68068,0.73596,0.44665,1.20005,0.83396,1.25359,0.00033665,0.00033665,0.00033665
35,6369.57,1.39512,1.09266,1.36959,0.70333,0.69929,0.73097,0.44877,1.18731,0.81811,1.23948,0.0003317,0.0003317,0.0003317
36,6525.5,1.39021,1.0863,1.36455,0.70213,0.74235,0.76774,0.46532,1.18798,0.79252,1.23813,0.00032675,0.00032675,0.00032675
37,6681.04,1.38474,1.07459,1.35874,0.67323,0.73013,0.73528,0.4452,1.18142,0.81527,1.24057,0.0003218,0.0003218,0.0003218
38,6836.29,1.37481,1.06711,1.3567,0.70945,0.7473,0.75812,0.45883,1.1796,0.78101,1.23182,0.00031685,0.00031685,0.00031685
39,6992.09,1.37405,1.0516,1.35174,0.70704,0.72535,0.74081,0.45034,1.17899,0.80803,1.23197,0.0003119,0.0003119,0.0003119
40,7148.17,1.38218,1.06821,1.36089,0.76815,0.68768,0.75223,0.45958,1.17212,0.80761,1.23039,0.00030695,0.00030695,0.00030695
41,7301.92,1.37724,1.06285,1.35195,0.7303,0.70833,0.74229,0.45046,1.18342,0.79276,1.243,0.000302,0.000302,0.000302
42,7456.27,1.3653,1.04957,1.34929,0.69468,0.74897,0.76036,0.4649,1.17991,0.78123,1.23748,0.00029705,0.00029705,0.00029705
43,7610.66,1.35626,1.0361,1.34275,0.72342,0.73757,0.75061,0.46042,1.17608,0.78836,1.23393,0.0002921,0.0002921,0.0002921
